Dagsetning,Land,Fjöldi sem nýtur tímabundinnar verndar,Nýjar veitingar á tímabundinni vernd,Nýir umsækjendur um hæli,Umsækjendur um hæli í bið eftir niðurstöðu,Ákvarðanir teknar um hæli,Einstaklingum veitt hæli,Hlutfall jákvæðra ákvarðana
2022-06-01,Ítalía,80265,26815,5995,57235,4141.111111111111,1888.3333333333333,0.45570340452624436
2022-07-01,Ítalía,99485,19770,5215,55515,4048.3333333333335,1818.3333333333333,0.44915603128859616
2022-08-01,Ítalía,116065,17180,6315,60025,4097.222222222222,1797.2222222222224,0.43888908244031155
2022-09-01,Ítalía,127970,12450,8220,60845,4146.111111111111,1776.111111111111,0.42862213359202705
2022-10-01,Ítalía,136095,8670,8740,65740,4195,1755,0.41835518474374256
2022-11-01,Ítalía,143195,7640,9460,70195,4340.555555555556,1797.2222222222224,0.4143238715132207
2022-12-01,Ítalía,145800,2945,8295,78125,4486.111111111111,1839.4444444444443,0.4102925582826989
2023-01-01,Ítalía,146520,920,8730,72940,4631.666666666667,1881.6666666666667,0.4062612450521771
2023-02-01,Ítalía,148060,440,10165,77075,4234.444444444444,1760,0.41780465432419045
2023-03-01,Ítalía,155490,6640,11810,84135,3837.2222222222226,1638.3333333333333,0.4293480635962037
2023-04-01,Ítalía,156065,2530,8475,87630,3440,1516.6666666666667,0.44089147286821706
2023-05-01,Ítalía,158330,2690,11410,94830,3285,1545,0.47338609862549674
2023-06-01,Ítalía,160110,2010,11035,100755,3130,1573.3333333333333,0.5058807243827763
2023-07-01,Ítalía,160435,1990,10090,104715,2975,1601.6666666666667,0.538375350140056
2023-08-01,Ítalía,159885,1690,10295,112815,2716.111111111111,1542.2222222222224,0.5747369657997139
2023-09-01,Ítalía,161220,1495,12205,118445,2457.222222222222,1482.7777777777776,0.6110985814593717
2023-10-01,Ítalía,161660,870,15370,127065,2198.3333333333335,1423.3333333333333,0.6474601971190296
2023-11-01,Ítalía,161500,115,14530,139755,NA,NA,NA
2023-12-01,Ítalía,161375,10,10430,145610,NA,NA,NA
2024-01-01,Ítalía,163525,2505,13320,144930,NA,NA,NA
2024-02-01,Ítalía,164865,2215,13700,NA,NA,NA,NA
2022-03-01,Lettland,11165,11210,65,145,33.88888888888889,20.555555555555554,0.6177777777777778
